2023, 1, 14.089, 32.820, 4.004, 2, 0
2023, 2, 16.827, 44.415, 2.016, 3, 0
2023, 3, 14.868, 51.510, 0.643, 2, 0
2023, 4, 14.838, 66.357, 8.297, 1, 0
2023, 5, 15.004, 70.850, 20.556, 2, 0
2023, 6, 14.177, 74.875, 24.656, 3, 0
2023, 7, 10.000, 76.317, 23.844, 4, 0
2023, 8, 10.608, 83.428, 21.033, 5, 0
2023, 9, 9.425, 58.201, 16.106, 6, 0
2023, 10, 9.929, 64.074, 25.814, 7, 0
2023, 11, 10.887, 55.429, 33.168, 8, 0
2024, 0, 12.417, 48.930, 39.897, 9, 0
2024, 1, 11.273, 50.147, 36.625, 10, 0
2024, 2, 16.865, 37.878, 33.656, 11, 20
2024, 3, 17.477, 47.537, 22.795, 12, 0
2024, 4, 16.380, 66.565, 14.544, 13, 0
2024, 5, 15.348, 76.517, 13.825, 14, 0
2024, 6, 13.521, 88.985, 1.108, 13, 0
2024, 7, 11.957, 74.675, 0.000, 12, 0
2024, 8, 11.035, 79.102, 0.000, 11, 0
2024, 9, 9.191, 73.174, 0.000, 10, 0
2024, 10, 8.851, 54.417, 0.000, 9, 0
2024, 11, 8.708, 54.795, 2.233, 8, 0
2025, 0, 10.886, 50.257, 5.761, 7, 0
2025, 1, 12.353, 32.181, 5.786, 6, 0
2025, 2, 16.712, 44.395, 0.000, 5, 0
2025, 3, 15.479, 54.843, 0.000, 4, 0
2025, 4, 13.905, 65.433, 10.999, 3, 0
2025, 5, 15.571, 77.667, 22.886, 4, 0
2025, 6, 13.337, 82.120, 19.746, 5, 0
2025, 7, 11.378, 78.683, 14.896, 6, 0
2025, 8, 9.947, 73.358, 9.465, 7, 0
2025, 9, 8.568, 60.854, 5.314, 8, 0
2025, 10, 9.620, 53.663, 12.096, 7, 0
2025, 11, 9.121, 53.089, 16.144, 8, 0
2026, 0, 12.143, 36.906, 17.922, 9, 0
2026, 1, 13.810, 38.849, 9.015, 10, 0
2026, 2, 14.514, 50.164, 0.000, 9, 0
2026, 3, 17.417, 54.964, 0.000, 8, 0
2026, 4, 14.815, 66.219, 5.810, 7, 0
2026, 5, 13.760, 74.973, 12.305, 6, 0
2026, 6, 14.051, 84.982, 8.428, 7, 0
2026, 7, 11.982, 83.696, 1.467, 8, 0
2026, 8, 10.208, 66.262, 0.000, 7, 0
2026, 9, 9.080, 68.036, 4.703, 6, 0
2026, 10, 8.245, 52.640, 6.933, 5, 0
2026, 11, 7.651, 51.310, 10.288, 6, 0
2027, 0, 11.240, 32.161, 10.569, 7, 0
2027, 1, 12.560, 41.354, 3.577, 8, 0
2027, 2, 15.867, 40.980, 0.000, 7, 0
2027, 3, 17.542, 58.887, 0.000, 6, 0
2027, 4, 17.281, 73.359, 11.424, 5, 0
2027, 5, 16.802, 66.195, 9.439, 6, 0
2027, 6, 12.263, 71.974, 16.034, 7, 0
2027, 7, 11.626, 79.712, 13.661, 8, 0
2027, 8, 8.546, 73.229, 6.050, 9, 0
2027, 9, 9.571, 69.466, 0.000, 8, 0
2027, 10, 9.282, 29.718, 0.000, 7, 20
2027, 11, 10.469, 49.143, 0.000, 6, 0
2028, 0, 11.548, 48.512, 0.000, 5, 0
2028, 1, 13.902, 39.674, 0.032, 4, 0
2028, 2, 16.644, 37.552, 0.000, 3, 0
2028, 3, 14.843, 60.883, 0.000, 2, 0
2028, 4, 15.698, 59.102, 17.704, 1, 0
2028, 5, 12.963, 82.137, 35.979, 2, 0
2028, 6, 11.302, 71.229, 34.127, 3, 0
2028, 7, 10.854, 83.234, 36.397, 4, 0
2028, 8, 10.179, 64.437, 32.479, 5, 0
2028, 9, 6.209, 74.034, 41.674, 6, 0
2028, 10, 8.587, 48.240, 37.194, 7, 0
2028, 11, 12.004, 25.217, 33.937, 8, 20
2029, 0, 11.435, 33.284, 25.937, 9, 0
